Date,Location/Atoll,Island/Site,Exposure,GPS North,GPS East,Site,Depth,Transect,Transect area,Family,Targeted/Untargeted,Species,No.,Length,Biomass (g),Biomass (kg/ha),Abundance/500m2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.061,073¼26.762,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,13,50.12064708,2.004825883,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.062,073¼26.763,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,13,50.12064708,2.004825883,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.063,073¼26.764,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,13,50.12064708,2.004825883,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.064,073¼26.765,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,13,50.12064708,2.004825883,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.065,073¼26.766,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,13,50.12064708,2.004825883,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.066,073¼26.767,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,13,50.12064708,2.004825883,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.067,073¼26.768,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,15,76.22721205,3.049088482,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.068,073¼26.769,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,20,177.0844938,7.083379752,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.069,073¼26.770,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,22,234.1321762,9.365287049,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.070,073¼26.771,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,28,474.6086824,18.9843473,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.071,073¼26.772,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,30,580.9355095,23.23742038,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.072,073¼26.773,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,30,580.9355095,23.23742038,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.073,073¼26.774,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,32,701.862572,28.07450288,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.074,073¼26.775,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,34,838.2930662,33.53172265,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.075,073¼26.776,1,8m,1,250,Scaridae,,Scarus frenatus,1,12,55.96272019,2.238508808,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.076,073¼26.777,1,8m,1,250,Scaridae,,Scarus frenatus,1,13,71.4942083,2.859768332,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.077,073¼26.778,1,8m,1,250,Scaridae,,Scarus frenatus,1,13,71.4942083,2.859768332,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.078,073¼26.779,1,8m,1,250,Scaridae,,Scarus frenatus,1,29,832.8026086,33.31210434,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.079,073¼26.780,1,8m,1,250,Scaridae,,Scarus scaber,1,16,86.50451245,3.460180498,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.176,073¼26.877,1,8m,2,250,Acanthuridae,,Acanthurus leucosternon,1,10,23.84328188,0.953731275,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.177,073¼26.878,1,8m,2,250,Acanthuridae,,Acanthurus leucosternon,1,10,23.84328188,0.953731275,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.178,073¼26.879,1,8m,2,250,Acanthuridae,,Acanthurus leucosternon,1,12,40.61200704,1.624480282,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.179,073¼26.880,1,8m,2,250,Acanthuridae,,Acanthurus leucosternon,1,12,40.61200704,1.624480282,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.180,073¼26.881,1,8m,2,250,Acanthuridae,,Acanthurus leucosternon,1,12,40.61200704,1.624480282,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.181,073¼26.882,1,8m,2,250,Acanthuridae,,Acanthurus leucosternon,1,12,40.61200704,1.624480282,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.182,073¼26.883,1,8m,2,250,Acanthuridae,,Acanthurus leucosternon,1,12,40.61200704,1.624480282,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.183,073¼26.884,1,8m,2,250,Acanthuridae,,Acanthurus leucosternon,1,12,40.61200704,1.624480282,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.184,073¼26.885,1,8m,2,250,Acanthuridae,,Acanthurus leucosternon,1,12,40.61200704,1.624480282,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.185,073¼26.886,1,8m,2,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.186,073¼26.887,1,8m,2,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.187,073¼26.888,1,8m,2,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.188,073¼26.889,1,8m,2,250,Acanthuridae,,Acanthurus nigrofuscus,1,12,47.91784216,1.916713686,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.189,073¼26.890,1,8m,2,250,Acanthuridae,,Acanthurus nigrofuscus,1,13,60.76261022,2.430504409,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.190,073¼26.891,1,8m,2,250,Acanthuridae,,Acanthurus nigrofuscus,1,13,60.76261022,2.430504409,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.191,073¼26.892,1,8m,2,250,Acanthuridae,,Acanthurus nigrofuscus,1,13,60.76261022,2.430504409,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.192,073¼26.893,1,8m,2,250,Acanthuridae,,Acanthurus nigrofuscus,1,13,60.76261022,2.430504409,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.193,073¼26.894,1,8m,2,250,Acanthuridae,,Acanthurus nigrofuscus,1,14,75.70566479,3.028226592,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.194,073¼26.895,1,8m,2,250,Acanthuridae,,Acanthurus nigrofuscus,1,14,75.70566479,3.028226592,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.195,073¼26.896,1,8m,2,250,Acanthuridae,,Acanthurus nigrofuscus,1,14,75.70566479,3.028226592,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.196,073¼26.897,1,8m,2,250,Acanthuridae,,Ctenochaetus striatus,1,13,59.8053786,2.392215144,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.197,073¼26.898,1,8m,2,250,Acanthuridae,,Ctenochaetus striatus,1,13,59.8053786,2.392215144,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.198,073¼26.899,1,8m,2,250,Acanthuridae,,Ctenochaetus striatus,1,14,74.84508408,2.993803363,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.199,073¼26.900,1,8m,2,250,Acanthuridae,,Ctenochaetus truncatus,1,10,31.51265674,1.26050627,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.200,073¼26.901,1,8m,2,250,Acanthuridae,,Ctenochaetus truncatus,1,10,31.51265674,1.26050627,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.201,073¼26.902,1,8m,2,250,Acanthuridae,,Ctenochaetus truncatus,1,10,31.51265674,1.26050627,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.202,073¼26.903,1,8m,2,250,Acanthuridae,,Ctenochaetus truncatus,1,11,40.33592989,1.613437196,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.203,073¼26.904,1,8m,2,250,Acanthuridae,,Ctenochaetus truncatus,1,11,40.33592989,1.613437196,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.206,073¼26.907,1,8m,2,250,Acanthuridae,,Zebrasoma scopas,1,11,36.4982258,1.459929032,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.243,073¼26.944,1,8m,2,250,scaridae,,Chlorurus sordidus,1,11,30.72155644,1.228862258,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.244,073¼26.945,1,8m,2,250,scaridae,,Chlorurus sordidus,1,12,39.64274309,1.585709724,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.245,073¼26.946,1,8m,2,250,scaridae,,Chlorurus sordidus,1,12,39.64274309,1.585709724,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.246,073¼26.947,1,8m,2,250,scaridae,,Chlorurus sordidus,1,12,39.64274309,1.585709724,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.247,073¼26.948,1,8m,2,250,scaridae,,Chlorurus sordidus,1,13,50.12064708,2.004825883,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.248,073¼26.949,1,8m,2,250,scaridae,,Chlorurus sordidus,1,13,50.12064708,2.004825883,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.249,073¼26.950,1,8m,2,250,scaridae,,Chlorurus sordidus,1,13,50.12064708,2.004825883,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.250,073¼26.951,1,8m,2,250,scaridae,,Chlorurus sordidus,1,13,50.12064708,2.004825883,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.251,073¼26.952,1,8m,2,250,scaridae,,Chlorurus sordidus,1,13,50.12064708,2.004825883,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.252,073¼26.953,1,8m,2,250,scaridae,,Chlorurus sordidus,1,13,50.12064708,2.004825883,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.253,073¼26.954,1,8m,2,250,scaridae,,Chlorurus sordidus,1,14,62.27558152,2.491023261,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.254,073¼26.955,1,8m,2,250,scaridae,,Chlorurus sordidus,1,14,62.27558152,2.491023261,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.255,073¼26.956,1,8m,2,250,scaridae,,Chlorurus sordidus,1,14,62.27558152,2.491023261,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.256,073¼26.957,1,8m,2,250,scaridae,,Chlorurus sordidus,1,15,76.22721205,3.049088482,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.257,073¼26.958,1,8m,2,250,scaridae,,Chlorurus sordidus,1,30,580.9355095,23.23742038,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.258,073¼26.959,1,8m,2,250,scaridae,,Scarus niger,1,10,19.60145656,0.784058262,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.259,073¼26.960,1,8m,2,250,scaridae,,Scarus scaber,1,27,411.79372,16.4717488,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.260,073¼26.961,1,8m,2,250,scaridae,,Scarus tricolor,1,25,327.3482928,13.09393171,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.373,073¼26.1074,1,8m,3,250,Acanthuridae,,Acanthurus leucosternon,1,12,40.61200704,1.624480282,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.374,073¼26.1075,1,8m,3,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.375,073¼26.1076,1,8m,3,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.376,073¼26.1077,1,8m,3,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.377,073¼26.1078,1,8m,3,250,Acanthuridae,,Acanthurus leucosternon,1,14,63.70976826,2.54839073,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.378,073¼26.1079,1,8m,3,250,Acanthuridae,,Acanthurus leucosternon,1,14,63.70976826,2.54839073,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.379,073¼26.1080,1,8m,3,250,Acanthuridae,,Acanthurus leucosternon,1,14,63.70976826,2.54839073,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.380,073¼26.1081,1,8m,3,250,Acanthuridae,,Acanthurus leucosternon,1,15,77.93429316,3.117371726,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.381,073¼26.1082,1,8m,3,250,Acanthuridae,,Ctenochaetus striatus,1,14,74.84508408,2.993803363,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.382,073¼26.1083,1,8m,3,250,Acanthuridae,,Ctenochaetus truncatus,1,13,62.17249575,2.48689983,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.383,073¼26.1084,1,8m,3,250,Acanthuridae,,Ctenochaetus truncatus,1,13,62.17249575,2.48689983,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.384,073¼26.1085,1,8m,3,250,Acanthuridae,,Ctenochaetus truncatus,1,13,62.17249575,2.48689983,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.385,073¼26.1086,1,8m,3,250,Acanthuridae,,Ctenochaetus truncatus,1,13,62.17249575,2.48689983,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.386,073¼26.1087,1,8m,3,250,Acanthuridae,,Ctenochaetus truncatus,1,13,62.17249575,2.48689983,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.387,073¼26.1088,1,8m,3,250,Acanthuridae,,Ctenochaetus truncatus,1,13,62.17249575,2.48689983,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.388,073¼26.1089,1,8m,3,250,Acanthuridae,,Ctenochaetus truncatus,1,13,62.17249575,2.48689983,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.389,073¼26.1090,1,8m,3,250,Acanthuridae,,Ctenochaetus truncatus,1,13,62.17249575,2.48689983,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.390,073¼26.1091,1,8m,3,250,Acanthuridae,,Ctenochaetus truncatus,1,13,62.17249575,2.48689983,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.391,073¼26.1092,1,8m,3,250,Acanthuridae,,Ctenochaetus truncatus,1,13,62.17249575,2.48689983,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.392,073¼26.1093,1,8m,3,250,Acanthuridae,,Ctenochaetus truncatus,1,13,62.17249575,2.48689983,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.393,073¼26.1094,1,8m,3,250,Acanthuridae,,Ctenochaetus truncatus,1,13,62.17249575,2.48689983,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.394,073¼26.1095,1,8m,3,250,Acanthuridae,,Ctenochaetus truncatus,1,14,75.32803373,3.013121349,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.397,073¼26.1098,1,8m,3,250,Acanthuridae,,Zebrasoma scopas,1,12,47.20766591,1.888306637,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.398,073¼26.1099,1,8m,3,250,Acanthuridae,,Zebrasoma scopas,1,13,59.8141694,2.392566776,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.427,073¼26.1128,1,8m,3,250,scaridae,,Chlorurus sordidus,1,13,50.12064708,2.004825883,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.428,073¼26.1129,1,8m,3,250,scaridae,,Chlorurus sordidus,1,14,62.27558152,2.491023261,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.429,073¼26.1130,1,8m,3,250,scaridae,,Chlorurus sordidus,1,14,62.27558152,2.491023261,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.430,073¼26.1131,1,8m,3,250,scaridae,,Chlorurus sordidus,1,16,92.09460642,3.683784257,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.431,073¼26.1132,1,8m,3,250,scaridae,,Chlorurus sordidus,1,17,109.9962772,4.399851087,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.432,073¼26.1133,1,8m,3,250,scaridae,,Chlorurus sordidus,1,27,426.6369599,17.0654784,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.433,073¼26.1134,1,8m,3,250,scaridae,,Chlorurus sordidus,1,27,426.6369599,17.0654784,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.434,073¼26.1135,1,8m,3,250,scaridae,,Chlorurus sordidus,1,27,426.6369599,17.0654784,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.435,073¼26.1136,1,8m,3,250,scaridae,,Chlorurus sordidus,1,27,426.6369599,17.0654784,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.436,073¼26.1137,1,8m,3,250,scaridae,,Chlorurus sordidus,1,27,426.6369599,17.0654784,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.437,073¼26.1138,1,8m,3,250,scaridae,,Scarus frenatus,1,19,228.3443248,9.133772991,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.438,073¼26.1139,1,8m,3,250,scaridae,,Scarus frenatus,1,20,267.1504992,10.68601997,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.502,073¼26.1203,1,8m,4,250,Acanthuridae,,Acanthurus leucosternon,1,11,31.49735363,1.259894145,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.503,073¼26.1204,1,8m,4,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.504,073¼26.1205,1,8m,4,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.505,073¼26.1206,1,8m,4,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.506,073¼26.1207,1,8m,4,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.507,073¼26.1208,1,8m,4,250,Acanthuridae,,Acanthurus leucosternon,1,15,77.93429316,3.117371726,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.508,073¼26.1209,1,8m,4,250,Acanthuridae,,Acanthurus leucosternon,1,17,112.3329935,4.493319742,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.509,073¼26.1210,1,8m,4,250,Acanthuridae,,Acanthurus nigrofuscus,1,13,60.76261022,2.430504409,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.510,073¼26.1211,1,8m,4,250,Acanthuridae,,Acanthurus nigrofuscus,1,13,60.76261022,2.430504409,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.511,073¼26.1212,1,8m,4,250,Acanthuridae,,Ctenochaetus truncatus,1,11,40.33592989,1.613437196,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.512,073¼26.1213,1,8m,4,250,Acanthuridae,,Ctenochaetus truncatus,1,12,50.53176248,2.021270499,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.513,073¼26.1214,1,8m,4,250,Acanthuridae,,Ctenochaetus truncatus,1,12,50.53176248,2.021270499,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.514,073¼26.1215,1,8m,4,250,Acanthuridae,,Ctenochaetus truncatus,1,13,62.17249575,2.48689983,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.515,073¼26.1216,1,8m,4,250,Acanthuridae,,Ctenochaetus truncatus,1,13,62.17249575,2.48689983,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.521,073¼26.1222,1,8m,4,250,Acanthuridae,,Zebrasoma scopas,1,10,27.53427107,1.101370843,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.569,073¼26.1270,1,8m,4,250,scaridae,,Chlorurus sordidus,1,32,701.862572,28.07450288,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.570,073¼26.1271,1,8m,4,250,scaridae,,Chlorurus sordidus,1,32,701.862572,28.07450288,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.571,073¼26.1272,1,8m,4,250,scaridae,,Chlorurus sordidus,1,33,768.0835976,30.72334391,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.572,073¼26.1273,1,8m,4,250,scaridae,,Scarus niger,1,13,44.6756079,1.787024316,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.573,073¼26.1274,1,8m,4,250,scaridae,,Scarus niger,1,13,44.6756079,1.787024316,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.574,073¼26.1275,1,8m,4,250,scaridae,,Scarus niger,1,17,103.7284665,4.149138661,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.575,073¼26.1276,1,8m,4,250,scaridae,,Scarus niger,1,23,267.9870139,10.71948055,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.576,073¼26.1277,1,8m,4,250,scaridae,,Scarus niger,1,27,443.374349,17.73497396,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.577,073¼26.1278,1,8m,4,250,scaridae,,Scarus niger,1,37,1192.454338,47.69817353,2
12/03/2013,Maldives,Maamendhoo,Exposed,00¼43.578,073¼26.1279,1,8m,4,250,scaridae,,Scarus viridifucatus,1,18,124.1206412,4.964825647,2
12/03/2013,Maldives,Kooddoo,Exposed,00¼43.803,073¼26.431,2,8m,1,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
12/03/2013,Maldives,Kooddoo,Exposed,00¼43.804,073¼26.432,2,8m,1,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
12/03/2013,Maldives,Kooddoo,Exposed,00¼43.805,073¼26.433,2,8m,1,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
12/03/2013,Maldives,Kooddoo,Exposed,00¼43.806,073¼26.434,2,8m,1,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
12/03/2013,Maldives,Kooddoo,Exposed,00¼43.807,073¼26.435,2,8m,1,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
12/03/2013,Maldives,Kooddoo,Exposed,00¼43.808,073¼26.436,2,8m,1,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
12/03/2013,Maldives,Kooddoo,Exposed,00¼43.809,073¼26.437,2,8m,1,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
12/03/2013,Maldives,Kooddoo,Exposed,00¼43.810,073¼26.438,2,8m,1,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
12/03/2013,Maldives,Kooddoo,Exposed,00¼43.811,073¼26.439,2,8m,1,250,Acanthuridae,,Acanthurus leucosternon,1,14,63.70976826,2.54839073,2
