Date,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,20/02/2010,20/02/2010,20/02/2010,20/02/2010,20/02/2010,20/02/2010,20/02/2010,20/02/2010,22/02/2010,22/02/2010,22/02/2010,22/02/2010,22/02/2010,22/02/2010,22/02/2010,22/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010
Platygyra,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,2,,,,,,,1,3,,,2,1,,1,,3,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Cyphastrea,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Leptoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinopora - encrusting,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinopora - plating,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploastrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptastrea,,2,1,1,,,,,,,,1,,,,,1,1,1,2,1,2,1,,,,,1,3,5,3,1,,,,2,,,,,1,,1,,,,,,,,,1,,,,1,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,3,2,,,,,,,,,,,,,1,,,,,,,,,,,3,3,3,,,,
Acanthastrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Lobophyllia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symphyllia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
