Latin name,Diet
Mycteroperca cidi,OM
Mycteroperca interstitialis,FC
Mycteroperca microlepis,FC
Mycteroperca phenax,HD
Mycteroperca rubra,HD
Mycteroperca tigris,PK
Mycteroperca venenosa,PK
Paranthias furcifer,IM
Paralabrax dewegeri,IM
Archosargus rhomboidalis,PK
Calamus arctifrons,OM
Calamus bajonado,PK
Calamus calamus,OM
Calamus cervigoni,OM
Calamus leucosteus,IM
Calamus nodosus,PK
Calamus penna,PK
Calamus pennatula,PK
Calamus proridens,PK
Diplodus argenteus caudimacula,PK
Diplodus holbrookii,PK
Stenotomus caprinus,PK
Sphyraena barracuda,PK
Sphyraena guachancho,PK
Sphyraena picudilla,PK
Sphoeroides nephelus,PK
Sphoeroides spengleri,PK
Sphoeroides testudineus,PK
Prionotus evolans,IM
Prionotus punctatus,PK
Macrodontogobius wilburi,PK
Acanthurus mata,PK
Acanthurus dussumieri,PK
Acanthurus leucosternon,PK
Acanthurus lineatus,PK
Acanthurus tennentii,PK
Acanthurus triostegus,PK
Acanthurus xanthopterus,PK
Ctenochaetus striatus,PK
Naso hexacanthus,PK
Naso lituratus,PK
Naso unicornis,PK
Zebrasoma veliferum,PK
Atherinomorus duodecimalis,PK
Atherinomorus lacunosus,PK
Hypoatherina barnesi,PK
Hypoatherina temminckii,IM
Aulostomus chinensis,IM
Odonus niger,OM
Sufflamen fraenatum,PK
Strongylura leiura,OM
Strongylura strongylura,OM
Tylosurusacus melanotus,OM
Bothus pantherinus,IM
Pseudorhombus arsius,PK
Mullus surmuletus,FC
Nerophis ophidion,PK
Serranus cabrilla,OM
Spondyliosoma cantharus,IM
Syngnathus typhle,IM
Trachurus trachurus,IM
Labrus mixtus,IM
Etelis oculatus,FC
Hoplopagrus guentherii,IM
Lipocheilus carnolabrum,IM
Lutjanus adetii,IM
Lutjanus agennes,PK
Lutjanus analis,HD
Lutjanus apodus,IM
Lutjanus aratus,IM
Lutjanus erythropterus,IM
Lutjanus argentimaculatus,IM
Lutjanus argentiventris,IM
Lutjanus bengalensis,IM
Lutjanus biguttatus,FC
Lutjanus bitaeniatus,FC
Lutjanus bohar,IM
Lutjanus boutton,IM
Lutjanus buccanella,IM
Lutjanus campechanus,FC
Lutjanus carponotatus,FC
Lutjanus coeruleolineatus,FC
Lutjanus colorado,FC
Lutjanus cyanopterus,IM
Lutjanus decussatus,IM
Lutjanus dentatus,FC
Lutjanus goreensis,IM
Dussumieria acuta,IM
Spratelloides delicatulus,FC
Herklotsichthys quadrimaculatus,FC
Amblygaster clupeoides,FC
Amblygaster sirm,FC
Sardinella albella,FC
Sardinella gibbosa,FC
Sardinella jussieu,IM
Tenualosa ilisha,IM
Tenualosa reevesii,IM
Clupanodon thrissa,IM
Konosirus punctatus,IM
Nematalosa come,IM
Nematalosa nasus,IM
Ilisha melastoma,FC
Anchoa colonensis,IM
Anchoa lamprotaenia,FC
Anthias anthias,FC
Apogon imberbis,PK
Parablennius sanguinolentus,PK
Salaria pavo,FC
Parablennius tentacularis,OM
Chromis chromis,IS
Muraena helena,IM
Gymnothorax unicolor,IM
Ophichthus rufus,OM
Ophidion barbatum,IM
Phycis phycis,IM
Diplodus puntazzo,IM
Remora remora,IM
Diplodus annularis,IM
Diplodus sargus sargus,IM
Diplodus vulgaris,IM
Pagrus pagrus,FC
Scorpaena porcus,IM
Scorpaena scrofa,IM
Scorpaena notata,FC
Serranus scriba,FC
Sphyraena sphyraena,IS
Syngnathus acus,PK
Synodus saurus,IS
Trachinotus ovatus,HD
Callanthias ruber,OM
Carapus acus,PK
Lesueurigobius suerii,PK
Acanthurus monroviae,IS
Hippocampus hippocampus,PK
Hippocampus guttulatus,PK
Gnathodentex aureolineatus,PK
Gymnocranius griseus,PK
Gymnocranius grandoculis,PK
Gymnocranius audleyi,PK
Gymnocranius euanus,PK
Gymnocranius frenatus,PK
Gymnocranius microdon,PK
Lethrinus crocineus,PK
Lethrinus erythropterus,PK
Lethrinus mahsena,PK
Lethrinus borbonicus,PK
Lethrinus microdon,OM
Lethrinus nebulosus,OM
Lethrinus obsoletus,OM
Lethrinus rubrioperculatus,IM
Lethrinus semicinctus,IM
Lethrinus variegatus,OM
Lethrinus harak,IM
Lethrinus xanthochilus,IM
Lethrinus amboinensis,IM
Lethrinus atkinsoni,IM
Lethrinus enigmaticus,PK
Lethrinus haematopterus,PK
Lethrinus laticaudis,OM
Lethrinus miniatus,IM
Lethrinus reticulatus,OM
Lethrinus erythracanthus,OM
Lethrinus lentjan,IM
Lethrinus olivaceus,IM
Lethrinus genivittatus,HD
Lethrinus ornatus,OM
Lethrinus atlanticus,PK
Lethrinus conchyliatus,PK
Monotaxis grandoculis,OM
Urophycis earllii,PK
Pterocaesio trilineata,PK
Pantolabus radiatus,PK
Alectis alexandrinus,PK
Alepes djedaba,PK
Atule mate,HD
Caranx ignobilis,OM
Caranx bucculentus,HD
Caranx senegallus,HD
Caranx heberi,HD
Caranx rhonchus,HD
Caranx caballus,HD
Alepes kleinii,HD
Carangoides gymnostethus,OM
Caranx melampygus,HD
Carangoides hedlandensis,PK
Carangoides oblongus,OM
Carangoides orthogrammus,PK
Carangoides plagiotaenia,OM
Carangoides praeustus,HD
Carangoides talamparoides,PK
Carangoides bartholomaei,OM
Carangoides humerosus,OM
Carangoides armatus,PK
Caranx sexfasciatus,OM
Carangoides ruber,OM
Carangoides equula,PK
Carangoides ferdau,OM
Carangoides bajad,OM
Carangoides coeruleopinnatus,OM
Carangoides dinema,OM
Carangoides fulvoguttatus,OM
Caranx tille,OM
Atropus atropos,OM
Ulua mentalis,OM
Caranx crysos,OM
Caranx latus,PK
Caranx lugubris,OM
Decapterus macrosoma,OM
Decapterus maruadsi,OM
Decapterus kurroides,OM
Parastromateus niger,OM
Pseudocaranx chilensis,PK
Pseudocaranx wrighti,OM
Scomberoides commersonnianus,OM
Scomberoides lysan,OM
Scomberoides tala,OM
Scomberoides tol,OM
Selar boops,HD
Seriola carpenteri,OM
Seriola hippos,HD
Seriola peruana,OM
Seriolina nigrofasciata,OM
Trachinotus blochii,HD
Trachinotus mookalee,HD
Trachinotus botla,HD
Trachinotus anak,OM
Trachinotus africanus,PK
Trachinotus coppingeri,IM
Trachinotus rhodopus,IM
Trachinotus stilbe,IM
Trachinotus goreensis,IM
Trachinotus maxillosus,IS
Trachinotus teraia,IS
Trachinotus baillonii,IS
Trachurus novaezelandiae,IM
Trachurus delagoa,IM
Trachurus indicus,IS
Uraspis helvola,IS
Uraspis uraspis,IS
Amphiprion perideraion,PK
Monochirus hispidus,IM
Balistoides conspicillum,FC
Echeneis naucrates,FC
Diploduscervinus cervinus,IM
Kyphosus sectator,HD
Thalassoma pavo,FC
Moringua edwardsi,PK
Chilorhinus suensonii,HD
Kaupichthys hyoproroides,HD
Kaupichthys nuchalis,HD
Anarchias similis,FC
Echidna catenata,PK
Enchelycore carychroa,FC
Gymnothorax hubbsi,OM
Gymnothorax mordax,OM
Gymnothorax nigromarginatus,HD
Gymnothorax saxicola,HD
Muraena retifera,HD
Ariosoma anale,OM
Paraconger caudilimbatus,HM
Ahlia egmontis,OM
Aprognathodon platyventris,PK
Bascanichthys scuticaris,HD
Caralophia loxochila,IM
Echiophis punctifer,IM
Ichthyapus ophioneus,PK
Myrichthys breviceps,OM
Myrichthys maculosus,IM
Myrichthys ocellatus,PK
Myrophis punctatus,HM
Ophichthus cruentifer,IM
Ophichthus puncticeps,IM
Saurida brasiliensis,FC
Saurida caribbaea,PK
Saurida normani,IM
Synodus foetens,PK
Synodus intermedius,PK
Synodus lucioceps,HD
Synodus poeyi,HD
Synodus synodus,IM
Trachinocephalus myops,IM
Opsanus beta,IM
Opsanus pardus,PK
Opsanus tau,PK
Acyrtops beryllinus,PK
Gobiesox papillifer,PK
Gobiesox punctulatus,PK
Gobiesox strumosus,OM
Lophiodes reticulatus,PK
Antennarius avalonis,OM
Antennarius multiocellatus,FC
Antennarius ocellatus,FC
Antennarius pauciradiatus,PK
Antennarius radiosus,OM
Histrio histrio,IM
Halieutichthys aculeatus,IM
Ogcocephalus nasutus,IM
Ogcocephalus parvus,IM
Ogcocephalus radiatus,PK
Ogcocephalus corniger,PK
Lepophidium jeannae,FC
Ophidion holbrookii,FC
Ophidion selenops,PK
Otophidium dormitator,PK
Otophidium omostigma,HM
Ogilbia cayorum,OM
Grammonus claudei,IM
Grammonus diagrammus,PK
Petrotyx sanguineus,IM
Stygnobrotula latebricola,HM
Carapus bermudensis,IM
Strongylura notata notata,FC
Menidia beryllina,PK
Corniger spinosus,IM
Sargocentron bullisi,PK
Sargocentron coruscum,PK
Neoniphon marianus,PK
Sargocentron poco,IM
Sargocentron vexillarium,IM
Ostichthys trachypoma,IM
Plectrypops retrospinis,IM
Fistularia tabacaria,IM
Fistularia petimba,IM
Acentronura dendritica,IM
Cosmocampus albirostris,PK
Cosmocampus brachycephalus,OM
Hippocampus erectus,PK
Hippocampus ingens,PK
Hippocampus reidi,PK
Hippocampus zosterae,PK
Anarchopterus criniger,IM
Micrognathus crinitus,FC
Anarchopterus tectus,OM
Cosmocampus arctus arctus,IM
Cosmocampus elucens,OM
Syngnathus floridae,IM
Syngnathus fuscus,IM
Cosmocampus hildebrandi,IM
Syngnathus louisianae,FC
Syngnathus pelagicus,OM
Syngnathus scovelli,OM
Syngnathus springeri,IM
Stereolepis gigas,PK
Pronotogrammus multifasciatus,IM
Anthias nicholsi,PK
Anthias tenuis,OM
Centropristis fuscula,IM
Centropristis ocyurus,IM
Diplectrum bivittatum,PK
Dermatolepis inermis,HD
Gonioplectrus hispanus,IM
Hemanthias peruanus,IM
Pronotogrammus martinicensis,OM
Hypoplectrus unicolor,IM
Liopropoma eukrines,IM
Liopropoma mowbrayi,IM
Liopropoma rubre,IM
Mycteroperca jordani,IM
Mycteroperca xenarcha,IM
Paralabrax maculatofasciatus,IM
Paralabrax nebulifer,IM
Schultzea beta,IM
Serraniculus pumilio,IM
Serranus annularis,IM
Serranus atrobranchus,IM
Serranus baldwini,FC
Serranus chionaraia,IM
Serranus notospilus,FC
Serranus phoebe,IM
Serranus subligarius,OM
Serranus tabacarius,OM
Serranus tigrinus,IM
Serranus tortugarum,FC
Pseudogramma gregoryi,PK
Rypticus bistrispinus,OM
Rypticus maculatus,PK
Rypticus subbifrenatus,OM
Lipogramma trilineatum,PK
Cookeolus japonicus,OM
Pristigenys alta,IM
Pristigenys serrula,OM
Apogon affinis,HM
Apogon aurolineatus,OM
Apogon binotatus,IM
Apogon guadalupensis,IM
Apogon lachneri,IM
Apogon leptocaulus,IM
Apogon maculatus,IM
Apogon phenax,FC
Apogon pillionatus,FC
Apogon planifrons,FC
Apogon pseudomaculatus,FC
Apogon quadrisquamatus,FC
Apogon townsendi,IM
Astrapogon alutus,FC
Astrapogon puncticulatus,FC
Astrapogon stellatus,FC
Phaeoptyx conklini,IM
Phaeoptyx pigmentaria,FC
Phaeoptyx xenus,FC
Caulolatilus princeps,FC
Malacanthus plumieri,PK
Rachycentron canadum,PK
Echeneis neucratoides,PK
Diapterus auratus,PK
Eucinostomus lefroyi,FC
Eucinostomus jonesii,FC
Anisotremus davidsonii,FC
Microlepidotus inornatus,FC
Xenistius californiensis,FC
Emmelichthyops atlanticus,IM
Inermia vittata,IM
Calamus brachysomus,IM
Diplodus argenteus argenteus,OM
Lagodon rhomboides,FC
Atractoscion nobilis,FC
Cheilotrema saturnum,FC
Pareques acuminatus,IM
Equetus lanceolatus,FC
Equetus punctatus,IM
Pareques umbrosus,IM
Mulloidichthys dentatus,IM
Pseudupeneus grandisquamis,OM
Pempheris schomburgkii,PK
Girella nigricans,IM
Hermosilla azurea,FC
Kyphosus analogus,IM
Medialuna californiensis,FC
Sectator ocyurus,FC
Chaetodipterus zonatus,IM
Prognathodes aculeatus,FC
Prognathodes aya,FC
Chaetodon capistratus,PK
Prognathodes falcifer,PK
Chaetodon ocellatus,PK
Chaetodon sedentarius,IM
Chaetodon striatus,IM
Centropyge argi,IM
Holacanthus bermudensis,IM
Holacanthus ciliaris,IM
Holacanthus tricolor,IM
Zalembius rosaceus,IM
Chromis cyanea,HD
Chromis enchrysura,IM
Chromis insolata,IM
Chromis scotti,IM
Hypsypops rubicundus,FC
Stegastes diencaeus,OM
Stegastes fuscus,IM
Stegastes leucostictus,PK
Stegastes partitus,FC
Stegastes planifrons,IM
Stegastes variabilis,FC
Amblycirrhitus pinos,FC
Clepticus parrae,PK
Decodon puellaris,IM
Doratonotus megalepis,PK
Halichoeres bathyphilus,FC
Halichoeres bivittatus,IM
Halichoeres caudalis,PK
Halichoeres cyanocephalus,PK
Halichoeres garnoti,IM
Halichoeres maculipinna,PK
Halichoeres pictus,PK
Halichoeres poeyi,PK
Halichoeres semicinctus,HM
Xyrichtys martinicensis,HD
Xyrichtys splendens,PK
Semicossyphus pulcher,PK
Thalassoma bifasciatum,IM
Cryptotomus roseus,PK
Sparisoma atomarium,HM
Sparisoma radians,IM
Sphyraena borealis,IM
Lonchopisthus micrognathus,IM
Opistognathus aurifrons,IM
Opistognathus lonchurus,PK
Opistognathus macrognathus,PK
Opistognathus maxillosus,PK
Opistognathus whitehursti,PK
Dactyloscopus crossotus,OM
Dactyloscopus tridigitatus,IM
Gillellus greyae,PK
Platygillellus rubrocinctus,IM
Gillellus uranidea,IM
Astroscopus y-graecum,IM
Acanthemblemaria aspera,IM
Acanthemblemaria chaplini,IM
Chaenopsis alepidota alepidota,PK
Chaenopsis limbaughi,IM
Chaenopsis ocellata,IM
Emblemaria atlantica,FC
Emblemariopsis bahamensis,IM
Emblemariopsis diaphanus,IM
Emblemaria pandionis,PK
Emblemaria piratula,IM
Enneanectes altivelis,IM
Enneanectes boehlkei,FC
Enneanectes pectoralis,FC
Hemiemblemaria simulus,IM
Labrisomus bucciferus,IM
Labrisomus gobio,IM
Labrisomus guppyi,IM
Labrisomus haitiensis,IM
Labrisomus kalisherae,FC
Labrisomus nigricinctus,IM
Labrisomus nuchipinnis,IM
Malacoctenus aurolineatus,IM
Malacoctenus macropus,FC
Malacoctenus triangulatus,FC
Nemaclinus atelestos,FC
Paraclinus cingulatus,IM
Paraclinus fasciatus,IM
Paraclinus grandicomis,FC
Paraclinus infrons,IM
Paraclinus marmoratus,FC
Paraclinus nigripinnis,HM
Starksia ocellata,HM
Starksia starcki,IM
Stathmonotus hemphillii,IM
Stathmonotus stahli,FC
Chasmodes bosquianus,IM
Entomacrodus nigricans,FC
Hypleurochilus aequipinnis,IM
Hypleurochilus bermudensis,PK
Hypleurochilus geminatus,IM
Hypleurochilus springeri,PK
Hypsoblennius gentilis,FC
Hypsoblennius hentz,IM
Hypsoblennius ionthas,IM
Hypsoblennius jenkinsi,IM
Ophioblennius atlanticus,OM
Parablennius marmoreus,IM
Scartella cristata,IM
Callionymus bairdi,FC
Diplogrammus pauciradiatus,FC
Barbulifer ceuthoecus,OM
Bathygobius curacao,PK
Bathygobius mystacium,IM
Bathygobius soporator,PK
Bollmannia boqueronensis,FC
Bollmannia communis,IM
Clevelandia ios,FC
Coryphopterus alloides,HD
Coryphopterus dicrus,IM
Coryphopterus eidolon,IM
Coryphopterus glaucofraenum,IM
Coryphopterus hyalinus,IM
Coryphopterus lipernes,IM
Coryphopterus personatus,IM
Coryphopterus punctipectophorus,PK
Coryphopterus thrix,PK
Evermannichthys metzelaari,OM
Evorthodus lyricus,PK
Gnatholepis thompsoni,IM
Ctenogobius boleosoma,OM
Ctenogobius saepepallens,PK
Ctenogobius smaragdus,PK
Oxyurichthys stigmalophius,OM
Ctenogobius stigmaticus,HD
Gobiosoma grosvenori,OM
Elacatinus horsti,PK
Elacatinus macrodon,OM
Elacatinus oceanops,OM
Gobiosoma robustum,HD
Elacatinus xanthiprora,HD
Gobulus myersi,OM
Ptereleotris calliura,IM
Lythrypnus dalli,IM
Lythrypnus nesiotes,IM
Lythrypnus phorellus,OM
Lythrypnus spilus,IS
Lythrypnus zebra,PK
Microgobius carri,PK
Microgobius microlepis,IM
Microgobius thalassinus,IM
Nes longus,IM
Priolepis hipoliti,IM
Risor ruber,IM
Cerdale floridana,FC
Microdesmus longipinnis,FC
Acanthurus randalli,IM
Neomerinthe hemingwayi,IM
Pontinus longispinis,IM
Pontinus rathbuni,IM
Scorpaena agassizii,IM
Scorpaena albifimbria,IM
Scorpaena bergii,IM
Scorpaena brachyptera,IS
Scorpaena brasiliensis,IM
Scorpaena dispar,IM
Scorpaena elachys,HD
Scorpaena grandicornis,IM
Scorpaena guttata,IM
Scorpaena inermis,IM
Scorpaena isthmensis,IM
Scorpaenodes caribbaeus,IM
Scorpaenodes tredecimspinosus,IM
Scorpaenodes xyris,IM
Sebastes paucispinis,IM
Prionotus ophryas,IM
Bothus ocellatus,IM
Bothus robinsi,IM
Symphurus arawak,IM
Aluterus heudelotii,IM
Aluterus monoceros,IM
Aluterus scriptus,IM
Balistes polylepis,IM
Cantherhines macrocerus,IM
Canthidermis maculata,IM
Canthidermis sufflamen,IM
Monacanthus ciliatus,HM
Stephanolepis hispidus,HD
Monacanthus tuckeri,PK
Xanthichthys mento,PK
Xanthichthys ringens,FC
Lactophrys bicaudalis,IM
Acanthostracion polygonius,IM
Canthigaster rostrata,IM
Sphoeroides annulatus,IM
Sphoeroides dorsalis,FC
Sphoeroides lobatus,FC
Sphoeroides pachygaster,IM
Chilomycterus antennatus,IM
Chilomycterus antillarum,FC
Acanthurus achilles,IM
Acanthurus bariene,IM
Stonogobiops dracula,IM
Stonogobiops medon,IM
Stonogobiops xanthorhinica,IM
Stonogobiops nematodes,IM
Istigobius ornatus,IM
Istigobius rigilius,IM
Istigobius nigroocellatus,PK
Istigobius goldmanni,IM
Istigobius decoratus,IM
Istigobius hoesei,IM
Istigobius campbelli,FC
Istigobius spence,IM
Stegastes albifasciatus,IM
Enoplosus armatus,OM
Stegastes altus,OM
Stegastes apicalis,OM
Stegastes aureus,OM
Stegastes emeryi,FC
Stegastes fasciolatus,OM
Stegastes gascoynei,FC
Stegastes insularis,FC
Stegastes limbatus,FC
Stegastes lividus,FC
Stegastes nigricans,FC
Stegastes obreptus,FC
Stegastes pelicieri,IM
Calotomus carolinus,IM
Calotomus japonicus,IM
Calotomus spinidens,IM
Calotomus viridescens,FC
Calotomus zonarchus,IM
Leptoscarus vaigiensis,IM
Pseudamia amblyuroptera,IM
Pseudamia gelatinosa,FC
Pseudamia hayashii,IM
Pseudamia TARRI,IM
Pseudamia zonata,OM
Pervagor alternans,IM
Pervagor aspricaudus,FC
Pervagor janthinosoma,PK
Pervagor marginalis,FC
Pervagor melanocephalus,IM
Pervagor nigrolineatus,IS
Pervagor randalli,IM
Pervagor spilosoma,OM
Ptereleotris arabica,OM
Ptereleotris evides,IM
Ptereleotris grammica,FC
Ptereleotris hanae,FC
Ptereleotris heteroptera,FC
Ptereleotris lineopinnis,FC
Ptereleotris melanopogon,IM
Ptereleotris microlepis,IM
Ptereleotris monoptera,IM
Ptereleotris uroditaenia,IM
Ptereleotris zebra,IM
Cirripectes alboapicalis,OM
Cirripectes auritus,IM
Cirripectes castaneus,FC
Cirripectes chelomatus,IM
Cirripectes filamentosus,HD
Cirripectes fuscoguttatus,HD
