"","X.Intercept.","Fished.Protected.dummy","Fished.Unfished.dummy","complexity","fish.biom","hard.coral","macroalgae","rubble","substrate","df","logLik","AICc","delta","weight"
"176",0.328048427028583,0.126746508103422,0.35304805523441,0.0934898949379757,0.0822662122625289,0,-0.170628387154159,0,0.213558854472545,10,-94.1650240286627,210.163381390659,2.43184307215563,0.0279047904981817
"181",0.454201142781688,0,0,0.0998214165381422,0,-0.0366411008427292,-0.181417197229156,0,0.210443235189864,8,-96.4994558165891,210.179239502031,2.4477011835275,0.0276844067326167
"238",0.415068855281086,0.115983582945451,0,0.0930162842279664,0.0997606522225001,0,-0.170573874275613,0.0313330483421217,0.235234704621162,10,-94.2999726591511,210.433278651636,2.70174033313231,0.0243821119355963
"190",0.418556476820783,0.12465293162965,0,0.100609912213223,0.0971378336805105,-0.0354479763115328,-0.177583714888304,0,0.212808380889296,10,-94.3164877292722,210.466308791878,2.73477047337445,0.0239827464984993
"182",0.439323377373224,0.131635051964633,0,0.106238877501329,0,-0.0364193977575289,-0.179436176547296,0,0.213623538854996,9,-95.611897822467,210.711398950719,2.97986063221597,0.0212167209849344
"231",0.341492966811249,0,0.57732165234044,0.0910116772746989,0,0,-0.169977849249484,0.0423794346019431,0.238877374208994,9,-95.6396220398272,210.766847385439,3.03530906693629,0.0206365830940846
"230",0.431206936024597,0.124798430710111,0,0.0987186522426738,0,0,-0.172704227589327,0.0258660607505164,0.232526153213929,9,-95.6557224331972,210.799048172179,3.06750985367623,0.0203069864263397
"183",0.350558154280591,0,0.529795814928339,0.0988973981964693,0,-0.0390011918953119,-0.178675998745709,0,0.208676366760142,9,-95.7681858628618,211.023975031509,3.29243671300554,0.0181469328256301
"239",0.36050206910627,0,0.385108695432872,0.0872254775439848,0.0888028564623958,0,-0.169374180160807,0.0447575176597452,0.239963079122939,10,-94.6432084457135,211.11975022476,3.38821190625708,0.0172983990970868
"161",0.428473649499418,0,0,0,0,0,-0.178751396938608,0,0.222451536619798,6,-99.2792771030736,211.235973560986,3.50443524248271,0.0163218106711429
"253",0.455097225762823,0,0,0.0947044149305447,0.103862769318767,-0.0358633865652012,-0.17663746230142,0.0409199985849367,0.236578866538251,10,-94.8254862782784,211.48430588989,3.75276757138687,0.0144159628939893
"191",0.366979292007063,0,0.341921494032893,0.0947279278029861,0.0861747282960279,-0.0369423821920155,-0.177908107002083,0,0.208368469641911,10,-94.829220936764,211.491775206861,3.76023688835807,0.0143622246053773
"170",0.392122272417421,0.0955754775262845,0,0,0.110073644886325,0,-0.174977278044295,0,0.221226674430936,8,-97.1631212149615,211.506570298775,3.77503198027222,0.0142563713985171
"184",0.332883260410522,0.133915460650912,0.538356291714803,0.105323894940047,0,-0.0394739191528353,-0.176528726560776,0,0.211643701102465,10,-94.8415629209156,211.516459175165,3.78492085666142,0.0141860556304959
