"","X.Intercept.","Fished.Protected.dummy","Fished.Unfished.dummy","complexity","fish.biom","hard.coral","macroalgae","rubble","site.size","substrate","df","logLik","AICc","delta","weight"
"424",-0.941062486213703,0.174751203880195,0.957858856670117,0.0844416255736484,0,0,-0.0257700524568855,0,0.044136780047192,0.0475394427984678,10,-38.8221225189742,99.4624268561303,5.00752437259115,0.00178510180901919
"396",-0.962711339140037,0.14466642142765,1.00351339604984,0,-0.101744900237221,0,0,0,0.101388366345775,0.0485706852798978,9,-40.0044226324156,99.4842551008969,5.02935261735774,0.00176572492260815
"363",-0.923616530389683,0,1.10402489918315,0,-0.0637887166635059,0,-0.0241957063733627,0.112653319190826,0,0.126971877482935,9,-40.0056540484689,99.4867179330033,5.03181544946423,0.00176355191880332
"34",-0.462501400631391,0.151584279620824,0,0,0,0,-0.0366450390138467,0,0,0,6,-43.4096534054715,99.4913068109431,5.03640432740397,0.00175951019507276
"472",-0.871398454344,0.145700119005684,0.997179918083108,0.083189121150507,0,-0.0424521496997077,0,0.092444608224133,0.0420302555103756,0.101670356155187,11,-37.6464170568534,99.4928341137069,5.03793163016776,0.00175816705559127
"183",-0.884667536627099,0,0.912625075299671,0.0905802114619035,0,-0.0671670417383956,-0.0323607839992582,0,0.0760871917060119,0,9,-40.0163819036587,99.5081736433829,5.0532711598438,0.00174473390812067
"54",-0.423536428778046,0.165268024625379,0,0.101011790242463,0,-0.0562263534478099,-0.0379834500830597,0,0,0,8,-41.1719619102036,99.5146555277242,5.05975304418509,0.00173908847961644
"303",-1.00628901231074,0,1.12400305354335,0.0843929592753823,-0.0816032250205516,0,-0.0289499284158728,0,0,0.047098435994223,9,-40.020216554987,99.5158429460396,5.06094046250045,0.00173805627330556
"173",-0.459019438478507,0,0,0.0752760929371177,-0.0912510494244162,0,-0.0249124190179149,0,0.133197727800899,0,8,-41.1727614682731,99.5162546438632,5.06135216032409,0.0017376985331345
"171",-0.973482995010668,0,0.980096145694615,0,-0.103251092292389,0,-0.0282395410160104,0,0.129912997341858,0,8,-41.1770919343639,99.5249155760448,5.07001309250568,0.00173018975854191
"95",-0.988999201908944,0,1.16483758110059,0.103192099012509,-0.0775001149305996,-0.0684233802890964,0,0.0326109445193083,0,0,9,-40.0446457884756,99.5647014130167,5.10979892947761,0.00169611131833581
"330",-0.371579039260359,0.139412543978587,0,0,-0.0386706052415694,0,0,0.108836497546037,0,0.12968724360974,8,-41.1999113652318,99.5705544377806,5.11565195424151,0.00169115488363273
"162",-0.475491386097027,0.126695898966675,0,0,0,0,-0.0298436019341132,0,0.11408173751978,0,7,-42.3407617841656,99.5847493747828,5.12984689124369,0.00167919445968967
"9",-0.441558058537075,0,0,0,-0.0342022502127265,0,0,0,0,0,5,-44.5600183124148,99.59622710102,5.1413246174809,0.0016695853914721
"53",-0.40461911008623,0,0,0.0957765909486933,0,-0.0625896513263182,-0.03835414297405,0,0,0,7,-42.3467438992349,99.5967136049214,5.14181112138229,0.00166917931096072
"148",-0.913294477161273,0.136698128477057,0.874450182382105,0,0,-0.0169369023667519,0,0,0.0887437965272605,0,8,-41.2206537038184,99.6120391149539,5.15713663141479,0.00165643767917076
"485",-0.390830486835009,0,0,0.0624015553634369,0,0,-0.018645329752225,0.0983565558526576,0.09158593186189,0.105617480033335,9,-40.0776357501533,99.6306813363721,5.17577885283303,0.00164106957534789
"44",-1.04726703061556,0.164459736072568,1.12251046108431,0,-0.0725368074812685,0,-0.034771518132263,0,0,0,8,-41.2324952313524,99.6357221700218,5.18081968648272,0.00163693860405106
"194",-0.467764888396462,0.116876296068857,0,0,0,0,0,0.0269286763576889,0.121242247292414,0,7,-42.3746604265744,99.6525466596003,5.19764417606123,0.00162322603342426
"423",-0.901644265106595,0,0.892217983546932,0.0748521215877423,0,0,-0.0243668306753778,0,0.0717931881619461,0.0411452063366647,9,-40.09812724991,99.6716643358856,5.21676185234647,0.00160778380098345
"46",-0.455148898198895,0.173108486021294,0,0.0931824562575804,-0.0575951084924076,0,-0.0320339435712307,0,0,0,8,-41.2519618763549,99.674655460027,5.21975297648784,0.00160538105768655
"347",-0.904269428605082,0,1.10032996208572,0,-0.0624705612256322,-0.0175750081830942,0,0.116527531138219,0,0.127840492508769,9,-40.102059605936,99.6795290479377,5.22462656439856,0.00160147383730804
"462",-0.399399951351188,0.135180197889364,0,0.0717027332595783,-0.0806713024167879,0,0,0.0864455568954072,0.0962002735838986,0.101751839488526,10,-38.9308780733855,99.6799379649529,5.22503548141378,0.00160114643582844
"311",-0.901013423248684,0,0.995741214450563,0.0930756743456217,0,-0.0617296229363649,-0.0354172124442187,0,0,0.0398457374424855,9,-40.1067962123417,99.689002260749,5.23409977720992,0.00159390622262637
"43",-1.0190267611181,0,1.08765413449311,0,-0.0669489156210418,0,-0.0336963090197854,0,0,0,7,-42.396259285009,99.6957443764695,5.24084189293043,0.00158854211895781
"30",-0.422290758841187,0.168219224972692,0,0.104231772363927,-0.0553109936119442,-0.0456153611419728,0,0,0,0,8,-41.2637037610025,99.698139229322,5.24323674578289,0.00158664109504067
"488",-0.918721619061952,0.151879575714361,1.00858977281861,0.0743896825585485,0,0,-0.0204113119425715,0.0896690701640331,0.0400360864733473,0.104347379448387,11,-37.7514187689734,99.7028375379467,5.24793505440761,0.001582918204804
"17",-0.437077297857495,0,0,0,0,-0.0147256389838697,0,0,0,0,5,-44.6173021027416,99.7107946816737,5.25589219813462,0.00157663296240718
"184",-0.925955315274837,0.159532143376089,0.969705750979131,0.0977505133546598,0,-0.0618235185969321,-0.033100485213634,0,0.0531293709041424,0,10,-38.9464174084432,99.7110166350682,5.25611415152906,0.0015764580025967
"75",-1.01711086866231,0,1.10204959444722,0,-0.0626320709828787,0,0,0.0309150553140552,0,0,7,-42.4215486965686,99.7463231995888,5.29142071604964,0.00154887254780205
"155",-0.945397639801413,0,0.962415855893215,0,-0.102325818230231,-0.0217906408275704,0,0,0.132442730130437,0,8,-41.2981806688109,99.7670930449388,5.31219056139969,0.00153287085812506
"338",-0.37259685469244,0.137177892317272,0,0,0,-0.00259952976198985,0,0.110080826784687,0,0.129536469929361,8,-41.3039175871788,99.7785668816747,5.32366439813563,0.00152410208007528
"85",-0.397340381155822,0,0,0.0966356307180154,0,-0.0574508170179025,0,0.0311684045902174,0,0,7,-42.4417038472216,99.7866335008948,5.33173101735566,0.00151796728459038
"405",-0.414394790248573,0,0,0.08074480863041,0,-0.0414633432824026,0,0,0.103452277072863,0.0362108309546126,8,-41.3150144836568,99.8007606746306,5.34585819109148,0.00150728277073354
"112",-1.07795930994453,0.179267016421986,1.19738916850401,0.0952484312645788,-0.0857415749585831,0,-0.0278449872485302,0.014044536855115,0,0,10,-38.992525286368,99.8032323909178,5.34832990737866,0.00150542113364327
"458",-0.393431309608562,0.113940885041176,0,0,-0.0754164287855047,0,0,0.101135966955582,0.115097749679221,0.113964703254985,9,-40.1800486954813,99.8355072270282,5.3806047434891,0.00148132249136393
"66",-0.452461273094981,0.14458396206179,0,0,0,0,0,0.0227335193137251,0,0,6,-43.5852896721935,99.842579344387,5.38767686084789,0.00147609369821933
"10",-0.454953881018447,0.15163360558965,0,0,-0.0389115439599702,0,0,0,0,0,6,-43.5934473830819,99.8588947661638,5.4039922826247,0.00146410113502367
"213",-0.416197264424798,0,0,0.0847601210770046,0,-0.0555313439177286,0,0.0343187050785254,0.113845283715422,0,8,-41.3448862561296,99.8605042195762,5.4056017360371,0.00146292340767762
"201",-0.456051441938676,0,0,0,-0.0822832819119372,0,0,0.03084583146091,0.157010859814129,0,7,-42.4833352241763,99.8698962548041,5.414993771265,0.00145606959898582
"364",-0.947490683535799,0.148681537278619,1.1271375219452,0,-0.069358090742296,0,-0.0257107310367473,0.103705393530382,0,0.123358171852897,10,-39.0261430133583,99.8704678448983,5.41556536135921,0.00145565352096554
"29",-0.403416311572855,0,0,0.0985379195914807,-0.0491255579730247,-0.0522289235794197,0,0,0,0,7,-42.4878181216649,99.8788620497814,5.42395956624233,0.00144955679725543
"421",-0.442148288336237,0,0,0.0709953929498341,0,0,-0.0247731831467069,0,0.0996118013624378,0.0412633655511521,8,-41.3585812403702,99.8878941880575,5.43299170451841,0.00144302525808158
"216",-0.92217072397984,0.148020760311685,0.972455865105043,0.0967041265449892,0,-0.0571391437184123,0,0.025841813340286,0.0609140327863116,0,10,-39.038463932142,99.8951096824659,5.44020719892677,0.00143782856755065
"99",-0.965541516567807,0,0.996467494967365,0,0,0,-0.030149098342228,0.0304624098286442,0,0,7,-42.4972176770203,99.8976611604922,5.44275867695312,0.00143599544309558
"158",-0.437474579791316,0.141083549689498,0,0.0921166430803025,-0.0889638034550423,-0.0433385133644569,0,0,0.116015082997007,0,9,-40.2112404491074,99.8978907342803,5.44298825074117,0.00143583061909883
"76",-1.04229019518208,0.15721780899176,1.12954459460535,0,-0.0686715047364787,0,0,0.0235193776116645,0,0,8,-41.3712827396516,99.9132971866203,5.45839470308121,0.00142481258279473
"371",-0.861020126118463,0,1.00738383785203,0,0,-0.0246624118147975,-0.0264034795334264,0.115629093301363,0,0.125798158829351,9,-40.2190680513648,99.9135459387951,5.45864345525598,0.00142463538120047
"119",-0.926199732467351,0,1.0404086366705,0.0991898048339661,0,-0.0763211733052946,-0.0339974526607636,0.0327744166276412,0,0,9,-40.2207627625758,99.9169353612171,5.46203287767801,0.00142222308030238
