"","Region","Reef","Genus","Species","Phase","TL","Bites","min","sec","time","Bite.rate","dataset","sp","UVC"
"117","KAUST",NA,"Scarus","frenatus","TP",24,49,3,0,"03:00",16.33,"redsea","Scarus frenatus","TRUE"
"118","KAUST",NA,"Scarus","frenatus","IP",22,42,3,16,"03:16",12.86,"redsea","Scarus frenatus","TRUE"
"119","KAUST",NA,"Scarus","frenatus","TP",29,31,3,19,"03:19",9.35,"redsea","Scarus frenatus","TRUE"
"120","KAUST",NA,"Scarus","frenatus","IP",18,64,3,19,"03:19",19.3,"redsea","Scarus frenatus","TRUE"
"121","KAUST",NA,"Scarus","frenatus","TP",24,25,3,6,"03:06",8.06,"redsea","Scarus frenatus","TRUE"
"122","KAUST",NA,"Scarus","frenatus","IP",19,56,3,1,"03:01",18.56,"redsea","Scarus frenatus","TRUE"
"123","KAUST",NA,"Scarus","frenatus","IP",24,54,3,11,"03:11",16.96,"redsea","Scarus frenatus","TRUE"
"124","KAUST",NA,"Scarus","frenatus","IP",18,67,3,6,"03:06",21.61,"redsea","Scarus frenatus","TRUE"
"125","KAUST",NA,"Scarus","frenatus","IP",20,58,3,11,"03:11",18.22,"redsea","Scarus frenatus","TRUE"
"126","KAUST",NA,"Scarus","niger","TP",25,158,4,52,"04:52",32.47,"redsea","Scarus niger","TRUE"
"127","KAUST",NA,"Scarus","niger","TP",26,102,4,4,"04:04",25.08,"redsea","Scarus niger","TRUE"
"128","Al lith",NA,"Scarus","niger","TP",28,187,5,1,"05:01",37.28,"redsea","Scarus niger","TRUE"
"129","Al lith",NA,"Scarus","niger","IP",17,214,5,46,"05:46",37.11,"redsea","Scarus niger","TRUE"
"130","Al lith",NA,"Scarus","niger","TP",25,177,5,21,"05:21",33.08,"redsea","Scarus niger","TRUE"
"131","Al lith",NA,"Scarus","niger","IP",18,186,4,58,"04:58",37.45,"redsea","Scarus niger","TRUE"
"132","Al lith",NA,"Scarus","niger","TP",29,151,5,47,"05:47",26.11,"redsea","Scarus niger","TRUE"
"133","Al lith",NA,"Scarus","niger","IP",22,201,5,2,"05:02",39.93,"redsea","Scarus niger","TRUE"
"134","KAUST",NA,"Scarus","niger","IP",17,108,3,2,"03:02",35.6,"redsea","Scarus niger","TRUE"
"135","KAUST",NA,"Scarus","niger","TP",26,72,3,11,"03:11",22.62,"redsea","Scarus niger","TRUE"
"136","KAUST",NA,"Scarus","niger","IP",17,212,3,37,"03:37",58.62,"redsea","Scarus niger","TRUE"
"137","KAUST",NA,"Scarus","niger","IP",21,101,3,6,"03:06",32.58,"redsea","Scarus niger","TRUE"
"138","KAUST",NA,"Scarus","niger","TP",24,67,3,58,"03:58",16.89,"redsea","Scarus niger","TRUE"
"139","KAUST",NA,"Scarus","niger","IP",16,94,3,1,"03:01",31.16,"redsea","Scarus niger","TRUE"
"140","KAUST",NA,"Scarus","niger","IP",24,111,4,11,"04:11",26.53,"redsea","Scarus niger","TRUE"
"141","KAUST",NA,"Scarus","niger","IP",20,63,3,9,"03:09",20,"redsea","Scarus niger","TRUE"
"142","KAUST",NA,"Scarus","niger","TP",24,88,3,1,"03:01",29.17,"redsea","Scarus niger","TRUE"
"143","KAUST",NA,"Scarus","niger","TP",26,87,3,30,"03:30",24.86,"redsea","Scarus niger","TRUE"
"144","KAUST",NA,"Scarus","niger","TP",27,71,3,3,"03:03",23.28,"redsea","Scarus niger","TRUE"
"145","KAUST",NA,"Scarus","niger","IP",17,107,3,4,"03:04",34.89,"redsea","Scarus niger","TRUE"
"146","KAUST",NA,"Scarus","niger","IP",16,141,3,11,"03:11",44.29,"redsea","Scarus niger","TRUE"
"147","KAUST",NA,"Scarus","niger","IP",17,147,3,9,"03:09",46.67,"redsea","Scarus niger","TRUE"
"148","KAUST",NA,"Scarus","niger","IP",19,94,3,1,"03:01",31.16,"redsea","Scarus niger","TRUE"
