Date,Site,Observer,Temperature,Species,Size,Grp_Size,Mixed_Grp,Start_Time,End_Time,Time,minutes ,seconds ,minutes*60,add_to_ seconds ,total_divided_by_60 ,Total_Bites ,Bites_per_minute,Trial_Time,,
27/10/2016,North_Point,Lex,29,Siganus_doliatus,21,2,N,12:07:00,12:10:00,0:03:00,3,0,180,180,3,55,18.33333333,3,,
27/10/2016,North_Point,Lex,29,Siganus_doliatus,23,2,N,12:11:00,12:12:46,0:01:46,1,46,60,106,1.766666667,47,26.60377358,1.766666667,,
27/10/2016,North_Point,Lex,29,Siganus_doliatus,20,2,N,12:14:00,12:17:00,0:03:00,3,0,180,180,3,85,28.33333333,3,,
27/10/2016,North_Point,Zoe,29,Siganus_doliatus,19,1,N,12:05:51,12:06:25,0:00:34,0,34,0,34,0.566666667,18,31.76470588,0.566666667,,
27/10/2016,North_Point,Zoe,29,Siganus_doliatus,20,2,N,12:29:00,12:32:00,0:03:00,3,0,180,180,3,56,18.66666667,3,,
27/10/2016,North_Point,Zoe,29,Siganus_doliatus,24,2,N,12:36:45,12:39:51,0:03:06,3,6,180,186,3.1,46,14.83870968,3.1,,
29/10/2016,Macs_Reef,Lex,26,Acanthurus_dussumieri,20,2,N,14:14:00,14:17:00,0:03:00,3,0,180,180,3,71,23.66666667,3,,
29/10/2016,Macs_Reef,Lex,26,Acanthurus_dussumieri,25,1,N,14:26:00,14:29:00,0:03:00,3,0,180,180,3,122,40.66666667,3,,
29/10/2016,Macs_Reef,Lex,26,Acanthurus_dussumieri,28,2,N,14:31:00,14:34:00,0:03:00,3,0,180,180,3,27,9,3,,
29/10/2016,Macs_Reef,Lex,26,Acanthurus_dussumieri,32,5,N,14:39:00,14:42:00,0:03:00,3,0,180,180,3,50,16.66666667,3,,
29/10/2016,Macs_Reef,Lex,26,Acanthurus_dussumieri,28,1,N,14:44:00,14:47:00,0:03:00,3,0,180,180,3,47,15.66666667,3,,
29/10/2016,Macs_Reef,Lex,26,Acanthurus_dussumieri,20,2,N,14:48:00,14:51:00,0:03:00,3,0,180,180,3,86,28.66666667,3,,
29/10/2016,Macs_Reef,Lex,26,Acanthurus_dussumieri,35,3,N,12:12:00,12:15:00,0:03:00,3,0,180,180,3,67,22.33333333,3,,
29/10/2016,Macs_Reef,Lex,26,Acanthurus_dussumieri,30,4,N,12:15:00,12:18:00,0:03:00,3,0,180,180,3,101,33.66666667,3,,
29/10/2016,Macs_Reef,Lex,26,Acanthurus_dussumieri,33,3,N,12:44:00,12:45:22,0:01:22,1,22,60,82,1.366666667,8,5.853658537,1.366666667,,
29/10/2016,Macs_Reef,Lex,26,Acanthurus_dussumieri,23,1,N,12:48:00,12:51:00,0:03:00,3,0,180,180,3,139,46.33333333,3,,
29/10/2016,Macs_Reef,Lex,27,Acanthurus_dussumieri,30,3,N,15:03:00,15:06:00,0:03:00,3,0,180,180,3,164,54.66666667,3,,
29/10/2016,Macs_Reef,Lex,27,Acanthurus_dussumieri,20,3,N,15:07:00,15:10:00,0:03:00,3,0,180,180,3,76,25.33333333,3,,
29/10/2016,Macs_Reef,Lex,27,Acanthurus_dussumieri,19,3,N,15:11:00,15:14:00,0:03:00,3,0,180,180,3,145,48.33333333,3,,
29/10/2016,Macs_Reef,ECM,26,Acanthurus_dussumieri,21,2,N,11:46:00,11:48:00,0:02:00,2,0,120,120,2,91,45.5,2,,
