Region,Reef,Species,Phase,TL,Bites,min,sec,time,TL,bite rate
GBR,Lizard,C. sordidus,TP,26,71,4,12,00:04:12,26,16.9047619
GBR,Lizard,C. sordidus,TP,26,44,3,14,00:03:14,26,13.60824742
GBR,Lizard,C. sordidus,TP,26,57,4,19,00:04:19,26,13.2046332
GBR,Lizard,C. sordidus,TP,26,52,3,29,00:03:29,26,14.92822967
GBR,Lizard,C. sordidus,TP,26,44,4,11,00:04:11,26,10.51792829
GBR,Lizard,C. sordidus,TP,26,44,3,46,00:03:46,26,11.68141593
GBR,Lizard,C. sordidus,TP,26,89,5,3,00:05:03,26,17.62376238
GBR,Lizard,C. sordidus,TP,26,85,4,42,00:04:42,26,18.08510638
GBR,Lizard,C. sordidus,TP,27,49,4,3,00:04:03,27,12.09876543
GBR,Lizard,C. sordidus,TP,27,72,5,28,00:05:28,27,13.17073171
GBR,Lizard,C. sordidus,TP,27,65,4,52,00:04:52,27,13.35616438
GBR,Lizard,C. sordidus,TP,27,59,4,12,00:04:12,27,14.04761905
GBR,Lizard,C. sordidus,TP,28,67,4,51,00:04:51,28,13.81443299
GBR,Lizard,C. sordidus,IP,16,36,3,15,00:03:15,16,11.07692308
GBR,Lizard,H. longiceps,IP,14,68,,300,00:05:00,14,13.6
GBR,Lizard,H. longiceps,IP,15,71,,274,00:04:34,15,15.54744526
GBR,Lizard,H. longiceps,IP,18,32,,134,00:02:14,18,14.32835821
GBR,Lizard,H. longiceps,IP,20,44,,271,00:04:31,20,9.741697417
GBR,Lizard,H. longiceps,IP,22,36,,212,00:03:32,22,10.18867925
GBR,Lizard,H. longiceps,IP,23,27,,219,00:03:39,23,7.397260274
GBR,Lizard,H. longiceps,IP,25,33,,178,00:02:58,25,11.12359551
GBR,Lizard,H. longiceps,IP,28,37,,182,00:03:02,28,12.1978022
GBR,Lizard,H. longiceps,IP,28,28,,194,00:03:14,28,8.659793814
GBR,Lizard,H. longiceps,IP,30,30,,236,00:03:56,30,7.627118644
GBR,Lizard,H. longiceps,IP,32,29,,213,00:03:33,32,8.169014085
GBR,Lizard,H. longiceps,IP,31,27,3,18,00:03:18,31,8.181818182
GBR,Lizard,H. longiceps,IP,27,20,3,0,00:03:00,27,6.666666667
GBR,Lizard,H. longiceps,IP,23,25,3,7,00:03:07,23,8.021390374
GBR,Lizard,H. longiceps,IP,36,13,3,0,00:03:00,36,4.333333333
GBR,Lizard,H. longiceps,TP,46,4,3,1,00:03:01,46,1.325966851
GBR,Lizard,H. longiceps,TP,41,7,3,0,00:03:00,41,2.333333333
GBR,Lizard,H. longiceps,IP,27,19,3,2,00:03:02,27,6.263736264
GBR,Lizard,H. longiceps,IP,31,25,3,10,00:03:10,31,7.894736842
GBR,Lizard,S. altipinnis,IP,20,128,,274,00:04:34,20,28.02919708
GBR,Lizard,S. altipinnis,IP,21,114,,258,00:04:18,21,26.51162791
GBR,Lizard,S. altipinnis,IP,21,80,,218,00:03:38,21,22.01834862
GBR,Lizard,S. altipinnis,IP,22,92,,216,00:03:36,22,25.55555556
GBR,Lizard,S. altipinnis,IP,23,70,,209,00:03:29,23,20.09569378
GBR,Lizard,S. altipinnis,IP,23,72,,201,00:03:21,23,21.49253731
GBR,Lizard,S. altipinnis,IP,24,93,,240,00:04:00,24,23.25
GBR,Lizard,S. altipinnis,IP,25,67,,196,00:03:16,25,20.51020408
GBR,Lizard,S. altipinnis,IP,25,64,,192,00:03:12,25,20
GBR,Lizard,S. altipinnis,IP,17,198,,379,00:06:19,17,31.34564644
GBR,Lizard,S. altipinnis,IP,20,100,,185,00:03:05,20,32.43243243
GBR,Lizard,S. altipinnis,IP,28,78,,252,00:04:12,28,18.57142857
GBR,Lizard,S. altipinnis,IP,18,94,,180,00:03:00,18,31.33333333
GBR,Lizard,S. altipinnis,TP,30,103,,302,00:05:02,30,20.46357616
GBR,Lizard,S. altipinnis,TP,30,72,,184,00:03:04,30,23.47826087
GBR,Lizard,S. altipinnis,IP,30,108,,300,00:05:00,30,21.6
GBR,Lizard,S. altipinnis,IP,30,75,,180,00:03:00,30,25
GBR,Lizard,S. altipinnis,TP,31,81,,186,00:03:06,31,26.12903226
GBR,Lizard,S. altipinnis,TP,31,68,,181,00:03:01,31,22.54143646
GBR,Lizard,S. altipinnis,TP,33,112,,300,00:05:00,33,22.4
GBR,Lizard,S. altipinnis,TP,34,86,,214,00:03:34,34,24.11214953
GBR,Lizard,S. altipinnis,TP,34,69,,180,00:03:00,34,23
GBR,Lizard,S. altipinnis,TP,34,75,,200,00:03:20,34,22.5
GBR,Lizard,S. altipinnis,TP,35,68,,186,00:03:06,35,21.93548387
GBR,Lizard,S. altipinnis,TP,35,74,,203,00:03:23,35,21.87192118
GBR,Lizard,S. altipinnis,TP,35,71,,180,00:03:00,35,23.66666667
GBR,Lizard,S. altipinnis,TP,36,114,,269,00:04:29,36,25.42750929
GBR,Lizard,S. altipinnis,TP,36,59,,203,00:03:23,36,17.43842365
GBR,Lizard,S. altipinnis,TP,37,61,,180,00:03:00,37,20.33333333
GBR,Lizard,S. altipinnis,IP,22,41,3,6,00:03:06,22,13.22580645
GBR,Lizard,S. altipinnis,IP,34,91,3,0,00:03:00,34,30.33333333
GBR,Lizard,S. altipinnis,IP,27,42,3,3,00:03:03,27,13.7704918
GBR,Lizard,S. chameleon,IP,14,28,3,3,00:03:03,14,9.180327869
GBR,Lizard,S. chameleon,IP,14,54,3,11,00:03:11,14,16.96335079
GBR,Lizard,S. chameleon,TP,23,34,3,3,00:03:03,23,11.14754098
GBR,Lizard,S. chameleon,IP,14,78,3,1,00:03:01,14,25.85635359
GBR,Lizard,S. chameleon,TP,21,34,3,3,00:03:03,21,11.14754098
GBR,Lizard,S. chameleon,TP,28,44,3,2,00:03:02,28,14.50549451
GBR,Lizard,S. chameleon,IP,13,76,3,0,00:03:00,13,25.33333333
GBR,Lizard,S. chameleon,IP,17,54,3,4,00:03:04,17,17.60869565
GBR,Lizard,S. chameleon,IP,16,65,3,1,00:03:01,16,21.54696133
GBR,Lizard,S. chameleon,IP,19,61,3,5,00:03:05,19,19.78378378
GBR,Lizard,S. chameleon,IP,18,62,3,0,00:03:00,18,20.66666667
GBR,Lizard,S. chameleon,IP,14,48,3,2,00:03:02,14,15.82417582
GBR,Lizard,S. chameleon,IP,21,43,3,1,00:03:01,21,14.25414365
GBR,Lizard,S. chameleon,TP,26,27,3,9,00:03:09,26,8.571428571
GBR,Lizard,S. chameleon,IP,14,68,3,5,00:03:05,14,22.05405405
GBR,Lizard,S. chameleon,IP,16,67,3,16,00:03:16,16,20.51020408
GBR,Lizard,S. chameleon,TP,24,32,3,4,00:03:04,24,10.43478261
GBR,Lizard,S. chameleon,IP,19,63,3,1,00:03:01,19,20.8839779
GBR,Lizard,S. chameleon,TP,24,37,3,2,00:03:02,24,12.1978022
GBR,Lizard,S. chameleon,IP,17,55,3,8,00:03:08,17,17.55319149
GBR,Lizard,S. chameleon,TP,22,33,3,1,00:03:01,22,10.93922652
GBR,Lizard,S. dimidiatus,IP,15,94,,180,00:03:00,15,31.33333333
GBR,Lizard,S. dimidiatus,IP,17,86,,180,00:03:00,17,28.66666667
GBR,Lizard,S. dimidiatus,IP,14,97,,211,00:03:31,14,27.58293839
GBR,Lizard,S. dimidiatus,TP,18,103,,241,00:04:01,18,25.64315353
GBR,Lizard,S. dimidiatus,IP,16,145,,300,00:05:00,16,29
GBR,Lizard,S. dimidiatus,IP,16,129,,283,00:04:43,16,27.34982332
GBR,Lizard,S. dimidiatus,IP,20,57,,181,00:03:01,20,18.89502762
GBR,Lizard,S. dimidiatus,TP,21,94,,256,00:04:16,21,22.03125
GBR,Lizard,S. dimidiatus,IP,24,82,,191,00:03:11,24,25.7591623
GBR,Lizard,S. dimidiatus,IP,25,74,,180,00:03:00,25,24.66666667
GBR,Lizard,S. dimidiatus,IP,25,73,,182,00:03:02,25,24.06593407
GBR,Lizard,S. dimidiatus,IP,25,91,,203,00:03:23,25,26.89655172
GBR,Lizard,S. dimidiatus,TP,26,78,,198,00:03:18,26,23.63636364
GBR,Lizard,S. dimidiatus,TP,29,88,,226,00:03:46,29,23.36283186
GBR,Lizard,S. dimidiatus,TP,27,69,,182,00:03:02,27,22.74725275
