Region,Reef,Water temp,Species,Phase,TL,Bites,min,sec,time,bite rate (bites/min)
Aceh,P Weh,28,S. scaber,,22,123,3,8,00:03:08,39.25531915
Aceh,P Weh,28,S. scaber,,21,101,3,1,00:03:01,33.48066298
Aceh,P Weh,28,S. scaber,,19,117,3,1,00:03:01,38.78453039
Aceh,P Weh,28,S. scaber,,28,81,3,7,00:03:07,25.98930481
Aceh,P Weh,28,S. scaber,,27,76,3,0,00:03:00,25.33333333
Aceh,P Weh,28,S. scaber,,30,79,3,4,00:03:04,25.76086957
Aceh,P Weh,28,S. scaber,,22,90,3,12,00:03:12,28.125
Aceh,P Weh,28,S. scaber,,25,77,3,6,00:03:06,24.83870968
Aceh,P Aceh,28,S. scaber,,24,103,3,5,00:03:05,33.40540541
Aceh,P Aceh,28,S. scaber,,18,148,3,13,00:03:13,46.01036269
Aceh,P Aceh,28,S. scaber,,15,138,3,16,00:03:16,42.24489796
Aceh,P Aceh,28,S. scaber,,17,83,3,0,00:03:00,27.66666667
Aceh,P Aceh,28,S. scaber,,23,107,3,11,00:03:11,33.61256545
Aceh,P Aceh,28,S. scaber,,28,82,3,1,00:03:01,27.18232044
Aceh,P Aceh,28,S. scaber,,29,67,3,1,00:03:01,22.20994475
Aceh,P Aceh,28,S. scaber,,26,76,3,2,00:03:02,25.05494505
Aceh,P Weh,28,S. scaber,,24,93,3,0,00:03:00,31
Aceh,P Weh,28,S. scaber,,18,101,3,3,00:03:03,33.1147541
Aceh,P Weh,28,S. scaber,,23,117,3,9,00:03:09,37.14285714
Aceh,P Weh,28,S. tricolor,TP,23,62,3,6,00:03:06,20
Aceh,P Weh,28,S. tricolor,TP,18,91,3,1,00:03:01,30.16574586
Aceh,P Weh,28,S. tricolor,IP,17,80,3,5,00:03:05,25.94594595
Aceh,P Weh,28,S. tricolor,IP,16,101,3,49,00:03:49,26.4628821
Aceh,P Weh,28,S. tricolor,,15,106,3,21,00:03:21,31.64179104
Aceh,P Weh,28,S. tricolor,,22,58,3,0,00:03:00,19.33333333
Aceh,P Weh,28,S. tricolor,,27,67,3,6,00:03:06,21.61290323
Aceh,P Weh,28,S. tricolor,,20,71,3,1,00:03:01,23.5359116
Aceh,P Weh,28,S. tricolor,,18,94,3,1,00:03:01,31.16022099
Aceh,P Weh,28,S. tricolor,,18,67,3,3,00:03:03,21.96721311
Aceh,P Weh,28,S. tricolor,,18,89,3,17,00:03:17,27.10659898
Aceh,P Weh,28,S. tricolor,,21,55,3,0,00:03:00,18.33333333
Aceh,P Weh,28,S. tricolor,,15,99,3,4,00:03:04,32.2826087
Aceh,P Weh,28,S. tricolor,,23,71,3,22,00:03:22,21.08910891
Aceh,P Weh,28,S. tricolor,,23,59,3,41,00:03:41,16.01809955
Aceh,P Weh,28,S. tricolor,,27,60,3,9,00:03:09,19.04761905
Aceh,P Weh,28,S. tricolor,,24,44,3,0,00:03:00,14.66666667
Aceh,P Weh,28,S. tricolor,,20,49,3,2,00:03:02,16.15384615
Aceh,P Weh,28,S. tricolor,,26,51,3,0,00:03:00,17
Aceh,P Weh,28,S. tricolor,,19,63,3,1,00:03:01,20.8839779
Aceh,P Weh,28,S. tricolor,,20,67,3,1,00:03:01,22.20994475
Aceh,P Weh,28,S. tricolor,,26,68,3,8,00:03:08,21.70212766
Aceh,P Weh,28,S. tricolor,,25,61,3,5,00:03:05,19.78378378
Aceh,P Weh,28,S. tricolor,,24,57,3,11,00:03:11,17.90575916
Aceh,P Weh,28,S. viridifucatus,TP,19,189,3,4,00:03:04,61.63043478
Aceh,P Weh,28,S. viridifucatus,TP,21,162,3,14,00:03:14,50.10309278
Aceh,P Weh,28,S. viridifucatus,TP,19,169,3,14,00:03:14,52.26804124
Aceh,P Weh,28,S. viridifucatus,IP,14,186,3,1,00:03:01,61.65745856
Aceh,P Weh,28,S. viridifucatus,TP,23,173,3,1,00:03:01,57.3480663
Aceh,P Weh,28,S. viridifucatus,,14,184,3,3,00:03:03,60.32786885
Aceh,P Weh,28,S. viridifucatus,,15,178,3,2,00:03:02,58.68131868
Aceh,P Weh,28,S. viridifucatus,,17,179,3,14,00:03:14,55.36082474
Aceh,P Weh,28,S. viridifucatus,,17,181,3,7,00:03:07,58.07486631
Aceh,P Weh,28,S. viridifucatus,,20,157,3,6,00:03:06,50.64516129
